"TimeStep","ConnectedComponentId","CriticalType","Points:0","Points:1","Points:2"
1,214,3,-0.79757,2.0489,0.033729
2,214,3,-0.77184,2.0571,0.087677
0,215,3,1.0105,0.92181,-1.7217
1,215,3,1.0105,0.92181,-1.7217
2,215,3,1.0105,0.92181,-1.7217
0,216,3,-0.34016,-1.8586,1.1247
1,216,3,-0.33891,-1.8518,1.1362
0,217,3,-0.53047,1.8943,0.98262
1,217,3,-0.53209,1.9,0.97053
2,217,3,-0.54209,1.891,0.98262
0,218,3,1.0255,0.39585,1.9044
1,218,3,1.0126,0.40912,1.9085
0,219,3,-1.8065,1.1247,0.55404
1,219,3,-1.8098,1.1247,0.54295
2,219,3,-1.8032,1.1362,0.54095
0,220,3,1.3552,-0.40912,-1.6826
1,220,3,1.37,-0.36928,-1.6798
2,220,3,1.3919,-0.35597,-1.6646
0,221,3,-0.43731,1.1593,1.8166
1,221,3,-0.45183,1.1362,1.8276
2,221,3,-0.45014,1.1478,1.8208
0,222,3,-0.84198,1.8839,0.75981
1,222,3,-0.83226,1.8932,0.74713
2,222,3,-0.77717,1.9262,0.7217
0,223,3,-1.8878,1.1131,-0.18009
1,223,3,-1.866,1.1478,-0.18956
2,223,3,-1.8671,1.1478,-0.17811
0,224,3,-1.3335,-0.31597,1.7196
1,224,3,-1.2644,-0.36928,1.7607
2,224,3,-1.2966,-0.36928,1.7371
