"TimeStep","ConnectedComponentId","CriticalType","Points:0","Points:1","Points:2"
0,61,3,1.0207,1.0425,-1.6452
1,61,3,1.0207,1.0425,-1.6452
1,61,3,1.0408,1.0425,-1.6325
2,61,3,1.0408,1.0425,-1.6325
2,61,3,1.0408,1.0425,-1.6325
3,61,3,1.0408,1.0425,-1.6325
3,61,3,1.0543,1.0306,-1.6314
4,61,3,1.0543,1.0306,-1.6314
4,61,3,1.0543,1.0306,-1.6314
0,62,3,-1.4024,-0.56694,-1.5959
0,62,3,-1.4024,-0.56694,-1.5959
1,62,3,-1.4024,-0.56694,-1.5959
1,62,3,-1.4024,-0.56694,-1.5959
2,62,3,-1.4024,-0.56694,-1.5959
2,62,3,-1.4024,-0.56694,-1.5959
3,62,3,-1.4024,-0.56694,-1.5959
3,62,3,-1.385,-0.5539,-1.6156
4,62,3,-1.385,-0.5539,-1.6156
4,62,3,-1.385,-0.5539,-1.6156
0,63,3,-0.057465,2.0807,-0.70894
0,63,3,-0.057465,2.0807,-0.70894
1,63,3,-0.057465,2.0807,-0.70894
1,63,3,-0.057584,2.085,-0.69616
2,63,3,-0.057584,2.085,-0.69616
2,63,3,-0.057584,2.085,-0.69616
3,63,3,-0.057584,2.085,-0.69616
3,63,3,-0.057701,2.0892,-0.68334
4,63,3,-0.057701,2.0892,-0.68334
4,63,3,-0.057701,2.0892,-0.68334
0,64,3,2.0676,-0.044411,-0.74713
0,64,3,2.0676,-0.044411,-0.74713
1,64,3,2.0676,-0.044411,-0.74713
1,64,3,2.068,-0.019035,-0.74713
2,64,3,2.068,-0.019035,-0.74713
2,64,3,2.068,-0.019035,-0.74713
3,64,3,2.068,-0.019035,-0.74713
3,64,3,2.077,-0.019118,-0.7217
4,64,3,2.077,-0.019118,-0.7217
4,64,3,2.077,-0.019118,-0.7217
0,65,3,0.92289,-1.1362,1.6408
0,65,3,0.92289,-1.1362,1.6408
1,65,3,0.92289,-1.1362,1.6408
1,65,3,0.92629,-1.1247,1.6469
2,65,3,0.92629,-1.1247,1.6469
2,65,3,0.92629,-1.1247,1.6469
3,65,3,0.92629,-1.1247,1.6469
3,65,3,0.92629,-1.1247,1.6469
4,65,3,0.92629,-1.1247,1.6469
4,65,3,0.92629,-1.1247,1.6469
0,66,3,1.2983,-1.6324,-0.69616
0,66,3,1.2983,-1.6324,-0.69616
1,66,3,1.2983,-1.6324,-0.69616
1,66,3,1.2956,-1.6291,-0.70894
2,66,3,1.2956,-1.6291,-0.70894
2,66,3,1.2956,-1.6291,-0.70894
3,66,3,1.2956,-1.6291,-0.70894
3,66,3,1.2732,-1.6627,-0.67051
4,66,3,1.2732,-1.6627,-0.67051
4,66,3,1.2732,-1.6627,-0.67051
0,67,3,-1.2826,-1.0544,1.4416
0,67,3,-1.2826,-1.0544,1.4416
1,67,3,-1.2826,-1.0544,1.4416
1,67,3,-1.2985,-0.98262,1.4776
2,67,3,-1.2985,-0.98262,1.4776
